key
2015-01-27 13:08:24.0000002
2015-01-27 13:08:24.0000003
2011-10-08 11:53:44.0000002
2012-12-01 21:12:12.0000002
2012-12-01 21:12:12.0000003
2012-12-01 21:12:12.0000005
2011-10-06 12:10:20.0000001
2011-10-06 12:10:20.0000003
2011-10-06 12:10:20.0000002
2014-02-18 15:22:20.0000002
2014-02-18 15:22:20.0000003
2014-02-18 15:22:20.0000001
2010-03-29 20:20:32.0000002
2010-03-29 20:20:32.0000001
2011-10-06 03:59:12.0000002
2011-10-06 03:59:12.0000001
2012-07-15 16:45:04.0000006
2012-07-15 16:45:04.0000002
2012-07-15 16:45:04.0000003
2012-07-15 16:45:04.0000004
2014-10-29 02:09:56.0000001
2014-06-14 13:39:00.00000010
2014-06-14 13:39:00.00000060
2014-06-14 13:39:00.00000087
2014-06-14 13:39:00.00000050
2014-06-14 13:39:00.0000003
2014-06-14 13:39:00.000000158
2014-06-14 13:39:00.00000015
2014-06-14 13:39:00.00000073
2014-06-14 13:39:00.00000077
2014-06-14 13:39:00.000000145
2014-06-14 13:39:00.00000079
2014-06-14 13:39:00.000000121
2014-06-14 13:39:00.00000021
2014-06-14 13:39:00.0000005
2014-06-14 13:39:00.000000165
2014-06-14 13:39:00.000000184
2014-06-14 13:39:00.00000059
2014-06-14 13:39:00.00000070
2014-06-14 13:39:00.00000068
2014-06-14 13:39:00.000000133
2014-06-14 13:39:00.000000128
2014-06-14 13:39:00.000000136
2014-06-14 13:39:00.00000017
2014-06-14 13:39:00.000000111
2014-06-14 13:39:00.000000115
2014-06-14 13:39:00.000000168
2014-06-14 13:39:00.00000031
2014-06-14 13:39:00.000000116
2014-06-14 13:39:00.00000051
2014-06-14 13:39:00.000000193
2014-06-14 13:39:00.000000132
2014-06-14 13:39:00.000000167
2014-06-14 13:39:00.00000044
2014-06-14 13:39:00.000000138
2014-06-14 13:39:00.00000066
2014-06-14 13:39:00.00000063
2014-06-14 13:39:00.000000154
2014-06-14 13:39:00.00000097
2014-06-14 13:39:00.00000067
2014-06-14 13:39:00.000000179
